product_id,product_url,title,price,category_scraped,image_paths,source_folder,product_type
B09QL3NQHX,https://www.amazon.in/Rockerz-425-Bluetooth-Headphones-Signature/dp/B09QL3NQHX,"Boat Rockerz 425 Bluetooth Wireless Over Ear Headphones with Mic and Boat Signature Sound, Beast Mode for Gaming, Enx Tech, ASAP Charge, 25H Playtime, Bluetooth V5.2 (Active Black)","₹1,099.00","Mobiles & Accessories > Laptops & Accessories > TV & Home Entertainment > Audio > Cameras > Computer Peripherals > Smart Technology > Musical Instruments > Office & Stationery > Electronics > Headphones, Earbuds & Accessories > Headphones > On-Ear","B09QL3NQHX_img1.jpg,B09QL3NQHX_img2.jpg",final_data1_amazon,On-Ear
B07PR1CL3S,https://www.amazon.in/Rockerz-450-Wireless-Bluetooth-Headphone/dp/B07PR1CL3S,"Boat Rockerz 450/450R, 15 HRS Battery, 40mm Drivers, Padded Ear Cushions, Integrated Controls, Dual Modes, Bluetooth Headphones, Wireless Headphone with Mic (Luscious Black)","₹1,399.00","Mobiles & Accessories > Laptops & Accessories > TV & Home Entertainment > Audio > Cameras > Computer Peripherals > Smart Technology > Musical Instruments > Office & Stationery > Electronics > Headphones, Earbuds & Accessories > Headphones > On-Ear","B07PR1CL3S_img1.jpg,B07PR1CL3S_img2.jpg",final_data1_amazon,On-Ear
B09R24JBYV,https://www.amazon.in/ZEBRONICS-Zeb-Bro-Earphones-Compatible-Green/dp/B09R24JBYV,"ZEBRONICS Bro in Ear Wired Earphones with Mic, 3.5mm Audio Jack, 10mm Drivers, Phone/Tablet Compatible (Green)",₹159.00,"Mobiles & Accessories > Laptops & Accessories > TV & Home Entertainment > Audio > Cameras > Computer Peripherals > Smart Technology > Musical Instruments > Office & Stationery > Electronics > Headphones, Earbuds & Accessories > Headphones > In-Ear","B09R24JBYV_img1.jpg,B09R24JBYV_img2.jpg",final_data1_amazon,In-Ear
B0DGTSTQWL,https://www.amazon.in/boAt-Rockerz-430-Assistant-Headphones/dp/B0DGTSTQWL,"boAt Rockerz 430 w/ 40mm Drivers, Beast Mode w/ 40ms Latency, 40hrs Playback, ENx Tech, Voice Assistant, BTv5.4, Adaptive Fit & Easy Access Controls, Bluetooth Over Ear Headphones(Black Sabre)","₹1,199.00","Mobiles & Accessories > Laptops & Accessories > TV & Home Entertainment > Audio > Cameras > Computer Peripherals > Smart Technology > Musical Instruments > Office & Stationery > Electronics > Headphones, Earbuds & Accessories > Headphones > Over-Ear","B0DGTSTQWL_img1.jpg,B0DGTSTQWL_img2.jpg",final_data1_amazon,Over-Ear
B00Y4ORQ46,https://www.amazon.in/Logitech-H111-Stero-Headset-Black/dp/B00Y4ORQ46,Logitech H111 Wired On Ear Headphones With Mic Black,₹695.00,Mobiles & Accessories > Laptops & Accessories > TV & Home Entertainment > Audio > Cameras > Computer Peripherals > Smart Technology > Musical Instruments > Office & Stationery > Computers & Accessories > Accessories & Peripherals > Audio & Video Accessories > PC Headsets,"B00Y4ORQ46_img1.jpg,B00Y4ORQ46_img2.jpg",final_data1_amazon,PC Headsets
B0BS1PRC4L,https://www.amazon.in/Sony-Bluetooth-Headphones-Multipoint-Connectivity/dp/B0BS1PRC4L,"Sony WH-CH520 Wireless Bluetooth Headphones with Mic, Up to 50Hrs Battery, Quick Charge, DSEE Upscale, Multipoint Connectivity, Voice Assistant, Customized EQ-Black","₹3,489.00","Mobiles & Accessories > Laptops & Accessories > TV & Home Entertainment > Audio > Cameras > Computer Peripherals > Smart Technology > Musical Instruments > Office & Stationery > Electronics > Headphones, Earbuds & Accessories > Headphones > On-Ear","B0BS1PRC4L_img1.jpg,B0BS1PRC4L_img2.jpg",final_data1_amazon,On-Ear
B086671ZSR,https://www.amazon.in/Boat-Rockerz-450-Lightweight-Compatibility/dp/B086671ZSR,"boAt Rockerz 450, 15 HRS Battery, 40mm Drivers, Padded Ear Cushions, Integrated Controls, Dual Modes, On Ear Bluetooth Headphones, Wireless Headphone with Mic (Hazel Beige)","₹1,399.00","Mobiles & Accessories > Laptops & Accessories > TV & Home Entertainment > Audio > Cameras > Computer Peripherals > Smart Technology > Musical Instruments > Office & Stationery > Electronics > Headphones, Earbuds & Accessories > Headphones > On-Ear","B086671ZSR_img1.jpg,B086671ZSR_img2.jpg",final_data1_amazon,On-Ear
B0DHDDF5J2,https://www.amazon.in/boAt-Bassheads-900-Pro-Unidirectional/dp/B0DHDDF5J2,"boAt Bassheads 900 Pro Wired Headphones with 40Mm Drivers, Lightweight Foldable Design, Over Ear, Remote Control, Unidirectional Retractable Mic, Adjustable Headband & USB Type-A Compatibility(Black)",₹899.00,"Mobiles & Accessories > Laptops & Accessories > TV & Home Entertainment > Audio > Cameras > Computer Peripherals > Smart Technology > Musical Instruments > Office & Stationery > Electronics > Headphones, Earbuds & Accessories > Headphones","B0DHDDF5J2_img1.jpg,B0DHDDF5J2_img2.jpg",final_data1_amazon,Headphones
B08667772G,https://www.amazon.in/Boat-Rockerz-450-Lightweight-Compatibility/dp/B08667772G,"Boat Rockerz 450, 15 HRS Battery, 40mm Drivers, Padded Ear Cushions, Integrated Controls, Dual Modes, Bluetooth Headphones, Wireless Headphone with Mic (Aqua Blue)","₹1,399.00","Mobiles & Accessories > Laptops & Accessories > TV & Home Entertainment > Audio > Cameras > Computer Peripherals > Smart Technology > Musical Instruments > Office & Stationery > Electronics > Headphones, Earbuds & Accessories > Headphones > On-Ear","B08667772G_img1.jpg,B08667772G_img2.jpg",final_data1_amazon,On-Ear
B071Z8M4KX,https://www.amazon.in/boAt-BassHeads-100-Headphones-Black/dp/B071Z8M4KX,Boat BassHeads 100 in-Ear Headphones with Mic (Black),₹340.00,"Mobiles & Accessories > Laptops & Accessories > TV & Home Entertainment > Audio > Cameras > Computer Peripherals > Smart Technology > Musical Instruments > Office & Stationery > Electronics > Headphones, Earbuds & Accessories > Headphones > In-Ear","B071Z8M4KX_img1.jpg,B071Z8M4KX_img2.jpg",final_data1_amazon,In-Ear
