full_image_path,product_id,generated_captions_json
/Users/amankumar/Desktop/Aims/final data/images/B09QL3NQHX_img1.jpg,B09QL3NQHX,"[""sony ' s next - gen gaming headset is coming"", ""a detailed description of the product : red and black headphones on a white background"", ""an image of a pair of headphones sitting on top of each other"", ""features of this product : black and red headphones"", ""someone are looking at a pair of red over - ear stereo headphones""]"
/Users/amankumar/Desktop/Aims/final data/images/B09QL3NQHX_img2.jpg,B09QL3NQHX,"[""an image of headphones on a white surface"", ""features of this product : headphones are very comfortable and comfortable to wear"", ""a detailed description of the product : headphones on a white background"", ""nike vapor wired over - ear headphones - red / grey"", ""red and black headphones on a white background with a white background""]"
/Users/amankumar/Desktop/Aims/final data/images/B07PR1CL3S_img1.jpg,B07PR1CL3S,"[""a detailed description of the product : black headphones"", ""features of this product : headphones have a built - in microphone and a built - in mic"", ""treen t - s2 headphone $ 89 90 shipped on amazon"", ""an image of a pair of black headphones on a white background"", ""these bluetooth headphones are made for active listening""]"
/Users/amankumar/Desktop/Aims/final data/images/B07PR1CL3S_img2.jpg,B07PR1CL3S,"[""dj on - ear headphones with a noise control - black"", ""an image of a pair of headphones sitting on top of each other"", ""a detailed description of the product : headphones on a white background"", ""features of this product : headphones are very comfortable and comfortable to use"", ""stereo headphones resting on the side of this black, wired headphone""]"
/Users/amankumar/Desktop/Aims/final data/images/B09R24JBYV_img1.jpg,B09R24JBYV,"[""marshall electronics has made noisebuds earphones available in the uk"", ""philips level h earbuds in ear earphones with a cable"", ""a detailed description of the product : in ear headphones"", ""there is a pair of earphones that are connected to each other"", ""features of this product : green earbuds with a cable""]"
/Users/amankumar/Desktop/Aims/final data/images/B09R24JBYV_img2.jpg,B09R24JBYV,"[""a hazy white photograph of four toothbrushes and one standing on a table"", ""features of this product : of toothbrushes and toothpaste"", ""there are two toothbrushes and a toothbrush holder on a white background"", ""a detailed description of the product : in black and white"", ""this is a drawing of two toothbrushes with black handles""]"
/Users/amankumar/Desktop/Aims/final data/images/B0DGTSTQWL_img1.jpg,B0DGTSTQWL,"[""a detailed description of the product : headphones with a built - in microphone"", ""a close up of a pair of black headphones on a white background"", ""sene wireless noise proof headphones offer a free mic"", ""features of this product : headphones have a built - in microphone and a built - in mic"", ""sony ' s new flagship - built noise - less headphones are truly clean""]"
/Users/amankumar/Desktop/Aims/final data/images/B0DGTSTQWL_img2.jpg,B0DGTSTQWL,"[""an image of a pair of headphones sitting next to each other"", ""usb - c audio - headphones usb - audio - headphones with headset microphone - usb / mic for iphones, tablets and tablets"", ""features of this product : headphones have a built - in microphone"", ""a detailed description of the product : black headphones"", ""headphones are on the display for sale by the retail assistant""]"
/Users/amankumar/Desktop/Aims/final data/images/B00Y4ORQ46_img1.jpg,B00Y4ORQ46,"[""there is a black headset with a microphone attached to it"", ""someone is sitting at the head of the telephone wearing a headset"", ""headset with mic and cable for computer, mobile phone, tablet"", ""a detailed description of the product : headset with a microphone"", ""features of this product : of a headset with a microphone""]"
/Users/amankumar/Desktop/Aims/final data/images/B00Y4ORQ46_img2.jpg,B00Y4ORQ46,"[""an image of a black and white photo of a pair of headphones"", ""hp - 820 headset with extension for xbox"", ""headphones in this image are shown to show off the microphone"", ""a detailed description of the product : headset with a microphone"", ""features of this product : headset is designed with a microphone and a microphone cord""]"
/Users/amankumar/Desktop/Aims/final data/images/B0BS1PRC4L_img1.jpg,B0BS1PRC4L,"[""sony wp - 1000 bluetooth headphones with mic in gray"", ""an image of a pair of sony headphones on a white background"", ""the sony headphones are black with silver details"", ""a detailed description of the product : headphones on a white background"", ""features of this product : headphones are very comfortable and comfortable to use""]"
/Users/amankumar/Desktop/Aims/final data/images/B0BS1PRC4L_img2.jpg,B0BS1PRC4L,"[""an image of a pair of headphones sitting on top of each other"", ""a detailed description of the product : headphones"", ""features of this product : headphones have a built - in microphone and a built - in mic"", ""bose soundstation on ear headphones - black"", ""amazonbas headphones black on white background""]"
/Users/amankumar/Desktop/Aims/final data/images/B086671ZSR_img1.jpg,B086671ZSR,"[""headphone has light brown cover and a light gray cable"", ""features of this product : headphones have a built - in microphone and a built - in mic"", ""there is a pair of headphones sitting on top of each other"", ""marshall wireless headphones, khak series, light beige"", ""a detailed description of the product : headphones on a white background""]"
/Users/amankumar/Desktop/Aims/final data/images/B086671ZSR_img2.jpg,B086671ZSR,"[""an image of a pair of headphones sitting next to each other"", ""picture of klipk on ear headphones in gold"", ""headset with microphone and boomboard white on a white background"", ""a detailed description of the product : headphones on a white background"", ""features of this product : headphones are made of wood and metal""]"
/Users/amankumar/Desktop/Aims/final data/images/B0DHDDF5J2_img1.jpg,B0DHDDF5J2,"[""marshall marshall jr - 802 wired headphones with 2 25mm plug - only up to 120 hours"", ""features of this product : black headphones with a microphone"", ""this is an image of a pair of headphones on a white background"", ""a detailed description of the product : headphones on a white background"", ""there are a pair of headphones that are connected to a car charger""]"
/Users/amankumar/Desktop/Aims/final data/images/B0DHDDF5J2_img2.jpg,B0DHDDF5J2,"[""features of this product : of headphones"", ""isolated black and white photo of a computer headphone resting on a piece of metal"", ""isolated photo of black and white photo of a pair of headphones"", ""black and white photo of a pair of headphones on a chain"", ""a detailed description of the product : of the headphones""]"
/Users/amankumar/Desktop/Aims/final data/images/B08667772G_img1.jpg,B08667772G,"[""this is an image of a pair of headphones on a white background"", ""sony has released a new headphones and headphone charger to help"", ""features of this product : headphones are designed to look like a pair of headphones"", ""a detailed description of the product : with the headphones attached"", ""mickey mouse ears are resting next to a pair of blue headphones""]"
/Users/amankumar/Desktop/Aims/final data/images/B08667772G_img2.jpg,B08667772G,"[""an image of a pair of headphones sitting on top of each other"", ""there are a couple of headphones on top of each other"", ""philips headset - e - 100 on ear headphones - black / silver"", ""features of this product : headphones are very comfortable and comfortable to wear"", ""a detailed description of the product : headphones on a white background""]"
/Users/amankumar/Desktop/Aims/final data/images/B071Z8M4KX_img1.jpg,B071Z8M4KX,"[""features of this product : black earphones with mic and volume control"", ""an image of a pair of black earphones on a white background"", ""picture of skull earphones with volume control and mic"", ""a detailed description of the product : in - ear headphones"", ""these are two ear phones in one with a microphone and another with a mic""]"
/Users/amankumar/Desktop/Aims/final data/images/B071Z8M4KX_img2.jpg,B071Z8M4KX,"[""features of this product : earbuds in black and white"", ""philips ze sport ear buds - white / silver"", ""motorola headset earphones with remote control black tone"", ""an image of a pair of ear buds sitting next to each other"", ""a detailed description of the product : in - ear headphones""]"
/Users/amankumar/Desktop/Aims/final data/images/B0F2FF44NN_img1.jpg,B0F2FF44NN,"[""zastus wx - 90 on - ear headphones black"", ""a detailed description of the product : headphones with a built - in microphone"", ""an image of a pair of headphones sitting on top of each other"", ""a pair of black wireless headphones with the words beats on the top of them"", ""features of this product : black headphones with a built - in microphone""]"
