doc_id,product_id,aspect_name,overall_sentiment,mentions_total,mentions_positive,mentions_negative,summary_text,doc_type,snippet_1_highlight,snippet_1_text,snippet_2_highlight,snippet_2_text,snippet_3_highlight,snippet_3_text
d076f330-55c7-4cf5-a2f1-0b53f60b77ce,B09QL3NQHX,Sound quality,Positive,365,275,90,"Customers praise the headphones' sound quality, with good voice and bass performance, and one customer noting reliable noise cancellation.",aspect_summary,Mic quality is decent for indoor use,"""...Audio separation is good Upto date features Mic quality is decent for indoor use Charges quickly Handy control buttons...""",Sound Quality,"""...💸 Here’s why : 🎵 Sound Quality : The deep bass is impressive, making music, calls, and podcasts sound great....""",bass is good mic,"""...it for playing games mostly and there is almost no voice leak, bass is good mic i didnt test but chatgpt said it was better than most and design is..."""
792efe47-d4ae-40b9-b22e-71791becfa97,B09QL3NQHX,Battery life,Positive,89,81,8,"Customers are satisfied with the headphones' battery life, noting its top-notch performance and high capacity, with one customer mentioning it still has 30% charge remaining.",aspect_summary,Battery Life,"""...🔋 Battery Life : Up to 15 hours of playtime means you don’t have to worry about constant charging....""",good battery life also excellent,"""...it's adjustable to 4 cm each side and overall everything good battery life also excellent """,battery life,"""Pros - good sound , battery life and calling is also good Cons - less comfortable pain in ear after 30 min of use..."""
e7e20ab0-33f0-46d5-b39f-8478b5a49341,B09QL3NQHX,Build quality,Mixed,447,278,169,"Customers have mixed opinions about the headphones' build quality, with some finding them very good while others describe them as average.",aspect_summary,solid choice,"""...Despite minor sound leakage, they are a solid choice for those seeking quality over-the-ear wireless headphones without breaking the bank.""",product is faulty,"""...It’s clear that the product is faulty , and no amount of troubleshooting has made a difference....""",durable,"""...If you’re looking for durable , convenient, and high-quality headphones, the Boat Rockerz 245 is a fantastic deal! 🔥..."""
c7098b0d-dad1-499c-99ab-cd48f1fd4fec,B09QL3NQHX,Value for money,Mixed,170,118,52,"Customers have mixed opinions about the headphones' value for money, with some finding them an amazing deal while others consider them a waste of money.",aspect_summary,affordable over-the-ear wireless option,"""The boAt Rockerz 425 headphones are an affordable over-the-ear wireless option that offers a blend of comfort, functionality, and sound quality....""",price point,"""...❌ What’s Missing: No noise cancellation, but honestly, at this price point , the overall performance makes up for it....""",headphones are useless,"""...This purchase has been a total waste of time and money. The headphones are useless , the seller is unresponsive, and Amazon’s customer service is..."""
983b9ce1-b8c6-43ae-a118-a7dab299571d,B09QL3NQHX,Functionality,Mixed,142,54,88,"Customers have mixed experiences with the headphones' functionality, with some reporting good performance while others mention that the product stops working.",aspect_summary,refused to show up on any device,"""...For like half an hour the headphones simply refused to show up on any device even though it was charged and turned on....""",functionality,"""...over-the-ear wireless option that offers a blend of comfort, functionality , and sound quality. Design and Comfort...""",Product is not working,""" Product is not working please refund"""
89dd3438-4b4f-4148-91a6-78784e9a9d7f,B09QL3NQHX,Comfort,Mixed,98,53,45,"Customers have mixed opinions about the headphones' comfort, with some finding them soft and well-fitting, while others report they are very uncomfortable on the ears and painful to wear for extended periods.",aspect_summary,ultra-soft cushions,"""...feature rotating ear cups and an adjustable headrest with ultra-soft cushions , ensuring a comfortable fit for extended listening sessions....""",less comfortable pain in ear,"""...Cons - less comfortable pain in ear after 30 min of use Sometimes auto disconnect (not frequently but faces issue 2-3 times)...""",Comfortable,"""...🪶 Comfortable & Lightweight: Perfect for all-day wear without any discomfort...."""
50d02a4c-d30c-462a-b83a-daaa93af5857,B09QL3NQHX,Charging ability,Mixed,89,33,56,"Customers have mixed experiences with the headphones' charging ability, with some reporting quick power-up and good performance, while others mention issues with the device not turning on and the battery stopping to work after a month of use.",aspect_summary,connective system is very slow,"""...And connective system is very slow """,Charges quickly,"""...Upto date features Mic quality is decent for indoor use Charges quickly Handy control buttons...""",Charging speed don't know yet,"""...while connecting with my phone. Charging speed don't know yet . Yes,It is comfortable...."""
0c34a29d-1527-401a-abf6-602d55cca457,B09QL3NQHX,Connectivity,Negative,112,33,79,"Customers report multiple connectivity issues with the headphones, including difficulty pairing with phones, automatic connection and disconnection, and problems with the right side connection.",aspect_summary,headphones simply refuse to pair,"""...phones, including different brands and models, but the headphones simply refuse to pair ....""",DOESNT get connected,"""...tho its sound quality aint pretty bad, whats the point if it DOESNT get connected !!! It has not even touched a year before showing problems up.""",dual pairing feature allows simultaneous connection to two devices,"""...The dual pairing feature allows simultaneous connection to two devices , enhancing multitasking capabilities...."""
61cec0f8-cc48-4c50-bf7d-d621aee037d1,B07PR1CL3S,Sound quality,Positive,345,294,51,"Customers praise the headphones' sound quality, noting good voice reproduction and effective noise cancellation, making them suitable for long listening sessions.",aspect_summary,robust sound quality,"""...Rockerz 450 offers excellent value for its price, delivering robust sound quality , long battery life, and comfortable design. Pure Value For Money....""",lasting sound quality,"""Easy connectivity good comfort 4 days battery life long lasting sound quality also good 3D sound quality lightweight. Value for money.""",bass is punchy and powerful,"""...The bass is punchy and powerful , though sometimes it does drown out the mids and highs a bit...."""
e0b39b35-355a-422d-bed6-7529af5bfdc5,B07PR1CL3S,Value for money,Positive,951,266,685,"Customers find these wireless headphones to be worth their price, with one customer specifically noting the good battery backup for the price segment.",aspect_summary,excellent value for its price,"""...The boAt Rockerz 450 offers excellent value for its price , delivering robust sound quality, long battery life, and comfortable design....""",Value for money,"""... Value for money .""",offer great value,"""...budget-friendly based on boAt’s typical range these headphones offer great value ...."""
